2017-10-30: ancient apparition, bane, huskar, legion commander, lich, magnataur, obsidian destroyer, riki, sand king, spirit breaker
2021-03-14: crystal maiden, dark willow, lich, meepo, oracle, skeleton king, skywrath mage, slark, spirit breaker, windrunner
2021-03-15: ember spirit, kunkka, lich, life stealer, necrolyte, phoenix, puck, pudge, spirit breaker, storm spirit
2021-03-16: bane, bounty hunter, death prophet, oracle, queenofpain, riki, rubick, storm spirit, troll warlord, viper
2021-03-17: dazzle, death prophet, enchantress, medusa, morphling, necrolyte, pangolier, skeleton king, slardar, terrorblade
2021-03-18: axe, dark willow, dazzle, doom bringer, earthshaker, necrolyte, phantom lancer, rattletrap, sand king, ursa
2021-03-19: dazzle, huskar, mirana, nyx assassin, rubick, spectre, spirit breaker, terrorblade, venomancer, viper
2021-03-20: ancient apparition, brewmaster, bristleback, disruptor, kunkka, legion commander, razor, riki, ursa, zuus
2021-03-21: doom bringer, earthshaker, enigma, keeper of the light, kunkka, lich, phoenix, slark, vengefulspirit, weaver
2021-03-22: axe, brewmaster, enchantress, faceless void, legion commander, luna, pangolier, puck, shadow shaman, treant
2021-03-23: axe, centaur, crystal maiden, earth spirit, elder titan, obsidian destroyer, ogre magi, phoenix, rattletrap, spirit breaker
2021-03-24: axe, enchantress, furion, leshrac, mirana, naga siren, riki, rubick, ursa, vengefulspirit
2021-03-25: abaddon, alchemist, disruptor, kunkka, life stealer, luna, meepo, pudge, shredder, slardar
2021-03-26: alchemist, broodmother, dark seer, gyrocopter, lycan, mirana, sand king, shadow demon, shredder, templar assassin
2021-03-27: chaos knight, dark willow, dazzle, kunkka, legion commander, naga siren, slardar, terrorblade, tidehunter, viper
2021-03-28: bristleback, crystal maiden, death prophet, faceless void, keeper of the light, legion commander, meepo, naga siren, slark, storm spirit
2021-03-29: abaddon, broodmother, death prophet, doom bringer, naga siren, night stalker, pugna, tusk, weaver, zuus
2021-03-30: arc warden, chen, dark seer, death prophet, elder titan, lina, lycan, medusa, pudge, tidehunter
2021-03-31: legion commander, medusa, riki, sand king, shredder, skeleton king, slardar, spirit breaker, troll warlord, venomancer
2021-04-01: centaur, earth spirit, elder titan, jakiro, kunkka, naga siren, obsidian destroyer, skywrath mage, slark, viper
2021-04-02: furion, lich, lycan, medusa, skywrath mage, tidehunter, tiny, visage, weaver, witch doctor
2021-04-03: alchemist, batrider, chaos knight, invoker, rubick, sand king, tiny, troll warlord, undying, weaver
2021-04-04: ancient apparition, axe, chaos knight, monkey king, naga siren, silencer, sven, visage, weaver, witch doctor
2021-04-05: ancient apparition, brewmaster, disruptor, dragon knight, gyrocopter, invoker, phantom lancer, slardar, ursa, warlock
2021-04-06: axe, disruptor, ember spirit, life stealer, lycan, oracle, phantom lancer, rubick, skywrath mage, visage
2021-04-07: chaos knight, crystal maiden, earthshaker, jakiro, keeper of the light, legion commander, luna, obsidian destroyer, shadow demon, ursa
2021-04-08: batrider, dark seer, elder titan, enchantress, obsidian destroyer, puck, shadow demon, sniper, terrorblade, ursa
2021-04-09: antimage, batrider, bounty hunter, dazzle, drow ranger, legion commander, magnataur, mirana, morphling, shadow demon
2021-04-10: crystal maiden, earthshaker, enchantress, jakiro, magnataur, shadow demon, silencer, spectre, spirit breaker, windrunner
2021-04-11: abaddon, beastmaster, dazzle, legion commander, life stealer, pudge, riki, tiny, vengefulspirit, winter wyvern
2021-04-12: brewmaster, furion, medusa, ogre magi, shadow shaman, sniper, ursa, venomancer, weaver, wisp
2021-04-13: chen, enigma, luna, meepo, phantom lancer, rattletrap, tusk, vengefulspirit, viper, winter wyvern
2021-04-14: alchemist, elder titan, gyrocopter, kunkka, leshrac, lion, lone druid, meepo, undying, winter wyvern
2021-04-15: bloodseeker, dazzle, enigma, magnataur, rattletrap, shadow demon, shadow shaman, tiny, venomancer, winter wyvern
2021-04-16: ancient apparition, centaur, dragon knight, necrolyte, rubick, shadow shaman, silencer, undying, warlock, windrunner
2021-04-17: enigma, faceless void, furion, gyrocopter, leshrac, life stealer, naga siren, skywrath mage, spirit breaker, storm spirit
2021-04-18: axe, dark willow, ember spirit, invoker, pangolier, queenofpain, shadow demon, slark, sniper, tusk
2021-04-19: bounty hunter, clinkz, dark seer, dark willow, leshrac, necrolyte, nevermore, pangolier, rattletrap, tidehunter
2021-04-20: clinkz, enigma, invoker, obsidian destroyer, puck, sand king, shadow shaman, spirit breaker, weaver, windrunner
2021-04-21: brewmaster, chen, death prophet, doom bringer, elder titan, kunkka, silencer, skywrath mage, templar assassin, viper
2021-04-22: bristleback, crystal maiden, enchantress, lich, mirana, nyx assassin, riki, tinker, treant, warlock
2021-04-23: abyssal underlord, ember spirit, gyrocopter, kunkka, legion commander, lone druid, phantom lancer, shredder, templar assassin, tinker
2021-04-24: chaos knight, enigma, faceless void, morphling, silencer, spirit breaker, sven, templar assassin, viper, witch doctor
2021-04-25: alchemist, earth spirit, morphling, nevermore, ogre magi, puck, queenofpain, slark, tusk, weaver
2021-04-26: alchemist, antimage, clinkz, night stalker, ogre magi, queenofpain, razor, terrorblade, troll warlord, witch doctor
2021-04-27: abyssal underlord, broodmother, dark willow, disruptor, magnataur, nevermore, pugna, sven, tiny, vengefulspirit
2021-04-28: batrider, chaos knight, enchantress, jakiro, pangolier, rattletrap, riki, rubick, slardar, techies
2021-04-29: abyssal underlord, luna, nyx assassin, omniknight, pangolier, phantom assassin, sand king, spectre, tidehunter, visage
2021-04-30: earthshaker, faceless void, furion, juggernaut, keeper of the light, leshrac, lich, lion, silencer, terrorblade
2021-05-01: abaddon, clinkz, crystal maiden, earth spirit, meepo, monkey king, naga siren, razor, rubick, witch doctor
2021-05-02: batrider, centaur, drow ranger, keeper of the light, lich, ogre magi, phantom assassin, puck, shredder, winter wyvern
2021-05-03: batrider, disruptor, elder titan, furion, necrolyte, night stalker, shadow shaman, undying, viper, wisp
2021-05-04: alchemist, beastmaster, bloodseeker, crystal maiden, gyrocopter, legion commander, meepo, razor, techies, witch doctor
2021-05-05: arc warden, drow ranger, ember spirit, lycan, necrolyte, nevermore, pudge, rattletrap, slark, tidehunter
2021-05-06: abyssal underlord, arc warden, chen, jakiro, meepo, obsidian destroyer, oracle, phantom lancer, phoenix, rubick
2021-05-07: bloodseeker, monkey king, naga siren, night stalker, pudge, pugna, skywrath mage, viper, weaver, zuus
2021-05-08: axe, bounty hunter, earthshaker, kunkka, magnataur, medusa, sand king, shredder, viper, warlock
2021-05-09: dragon knight, leshrac, lion, lone druid, lycan, spectre, tinker, treant, venomancer, zuus
2021-05-10: arc warden, batrider, bounty hunter, death prophet, lich, meepo, rattletrap, techies, viper, zuus
2021-05-11: bristleback, dark seer, magnataur, nyx assassin, razor, shadow demon, skeleton king, slardar, tusk, windrunner
2021-05-12: dark willow, dragon knight, enigma, kunkka, magnataur, pangolier, skeleton king, slardar, treant, ursa
2021-05-13: clinkz, death prophet, ember spirit, lich, naga siren, nyx assassin, obsidian destroyer, ogre magi, shadow shaman, wisp
2021-05-14: bane, brewmaster, dark willow, invoker, mirana, rubick, techies, viper, wisp, zuus
2021-05-15: abyssal underlord, bounty hunter, dark seer, medusa, meepo, mirana, nyx assassin, sand king, troll warlord, windrunner
2021-05-16: batrider, clinkz, furion, gyrocopter, huskar, invoker, night stalker, queenofpain, techies, treant
2021-05-17: alchemist, ancient apparition, arc warden, furion, huskar, lone druid, techies, tiny, winter wyvern, witch doctor
2021-05-18: ancient apparition, bane, death prophet, phoenix, rattletrap, riki, skeleton king, storm spirit, tidehunter, visage
2021-05-19: abaddon, ancient apparition, chaos knight, crystal maiden, lion, medusa, necrolyte, nyx assassin, rattletrap, winter wyvern
2021-05-20: bounty hunter, drow ranger, kunkka, lion, lone druid, mirana, naga siren, night stalker, nyx assassin, pangolier
2021-05-21: brewmaster, doom bringer, medusa, night stalker, oracle, phantom lancer, shadow demon, vengefulspirit, viper, windrunner
2021-05-22: broodmother, gyrocopter, luna, magnataur, morphling, night stalker, slardar, storm spirit, venomancer, wisp
2021-05-23: abaddon, batrider, clinkz, dark seer, nevermore, obsidian destroyer, phantom lancer, phoenix, pugna, vengefulspirit
2021-05-24: brewmaster, bristleback, gyrocopter, monkey king, ogre magi, queenofpain, sven, tinker, troll warlord, venomancer
2021-05-25: antimage, centaur, dragon knight, lone druid, morphling, nyx assassin, ogre magi, omniknight, terrorblade, treant
2021-05-26: abaddon, dazzle, elder titan, enchantress, legion commander, medusa, skywrath mage, vengefulspirit, viper, witch doctor
2021-05-27: abyssal underlord, furion, invoker, obsidian destroyer, oracle, pugna, shadow demon, slardar, tusk, windrunner
2021-05-28: axe, disruptor, faceless void, obsidian destroyer, pudge, shadow demon, sniper, storm spirit, ursa, windrunner
2021-05-29: axe, brewmaster, bristleback, crystal maiden, naga siren, night stalker, phantom lancer, shadow shaman, undying, weaver
2021-05-30: alchemist, axe, clinkz, drow ranger, earth spirit, lina, nevermore, phoenix, shadow demon, sniper
2021-05-31: batrider, gyrocopter, invoker, medusa, nyx assassin, ogre magi, pangolier, spirit breaker, templar assassin, viper
2021-06-01: death prophet, dragon knight, jakiro, juggernaut, morphling, skeleton king, slardar, tiny, winter wyvern, zuus
2021-06-02: antimage, centaur, death prophet, disruptor, earth spirit, earthshaker, monkey king, riki, winter wyvern, witch doctor
2021-06-03: batrider, broodmother, crystal maiden, disruptor, dragon knight, jakiro, magnataur, monkey king, spirit breaker, winter wyvern
2021-06-04: arc warden, earthshaker, kunkka, lycan, pudge, sand king, spirit breaker, sven, troll warlord, wisp
2021-06-05: bane, bloodseeker, broodmother, centaur, leshrac, obsidian destroyer, rubick, slardar, sven, tiny
2021-06-06: abaddon, axe, bloodseeker, crystal maiden, dark willow, death prophet, lina, razor, undying, windrunner
2021-06-07: alchemist, crystal maiden, death prophet, enigma, huskar, magnataur, nevermore, obsidian destroyer, pangolier, tidehunter
2021-06-08: antimage, beastmaster, brewmaster, chen, dark seer, enigma, magnataur, puck, slardar, treant
2021-06-09: brewmaster, life stealer, monkey king, obsidian destroyer, omniknight, rubick, sand king, silencer, terrorblade, warlock
2021-06-10: batrider, dark willow, death prophet, obsidian destroyer, omniknight, pugna, sand king, terrorblade, weaver, wisp
2021-06-11: dark willow, death prophet, earthshaker, juggernaut, legion commander, life stealer, rattletrap, vengefulspirit, visage, warlock
2021-06-12: ancient apparition, enchantress, gyrocopter, jakiro, kunkka, monkey king, ogre magi, razor, tiny, troll warlord
2021-06-13: doom bringer, drow ranger, enigma, gyrocopter, juggernaut, storm spirit, templar assassin, viper, winter wyvern, witch doctor
2021-06-14: disruptor, earth spirit, earthshaker, furion, jakiro, keeper of the light, naga siren, queenofpain, skeleton king, ursa
2021-06-15: clinkz, death prophet, disruptor, kunkka, legion commander, nyx assassin, ogre magi, queenofpain, tiny, ursa
2021-06-16: abyssal underlord, clinkz, disruptor, enigma, nevermore, oracle, pudge, slark, sven, undying
2021-06-17: arc warden, doom bringer, juggernaut, lich, lina, medusa, riki, spirit breaker, techies, tidehunter
2021-06-18: bane, bristleback, elder titan, enchantress, enigma, phantom assassin, pudge, riki, spirit breaker, warlock
2021-06-19: bristleback, earthshaker, enchantress, huskar, keeper of the light, lycan, magnataur, mirana, sniper, weaver
2021-06-20: abaddon, ancient apparition, dark seer, elder titan, ember spirit, enchantress, furion, queenofpain, skeleton king, wisp
2021-06-21: antimage, dark willow, disruptor, elder titan, huskar, leshrac, shadow demon, techies, troll warlord, venomancer
2021-06-22: ancient apparition, antimage, brewmaster, death prophet, drow ranger, enchantress, lion, pangolier, skeleton king, vengefulspirit
2021-06-23: abyssal underlord, antimage, brewmaster, chaos knight, lion, lycan, morphling, phoenix, slark, tinker
2021-06-24: chaos knight, dark willow, jakiro, legion commander, life stealer, medusa, obsidian destroyer, pudge, skeleton king, spectre
2021-06-25: ancient apparition, lich, lone druid, obsidian destroyer, omniknight, silencer, spectre, visage, warlock, witch doctor
2021-06-26: chen, invoker, mirana, oracle, phantom assassin, silencer, sniper, treant, ursa, witch doctor
2021-06-27: arc warden, axe, life stealer, lone druid, necrolyte, nyx assassin, phoenix, pudge, skeleton king, viper
2021-06-28: arc warden, crystal maiden, doom bringer, magnataur, phantom lancer, skywrath mage, sven, terrorblade, treant, zuus
2021-06-29: bounty hunter, clinkz, disruptor, furion, kunkka, shadow shaman, troll warlord, winter wyvern, wisp, witch doctor
2021-06-30: ancient apparition, bane, broodmother, kunkka, oracle, puck, rattletrap, tinker, tusk, zuus
2021-07-01: antimage, batrider, centaur, death prophet, drow ranger, enchantress, luna, phantom assassin, phantom lancer, slark
2021-07-02: bristleback, dark willow, faceless void, magnataur, nyx assassin, pudge, shadow shaman, shredder, storm spirit, witch doctor
2021-07-03: dark seer, furion, jakiro, leshrac, omniknight, pangolier, phoenix, rubick, shredder, windrunner
2021-07-04: antimage, beastmaster, chaos knight, invoker, juggernaut, naga siren, omniknight, shredder, spirit breaker, venomancer
2021-07-05: abyssal underlord, bane, bounty hunter, dark seer, enigma, furion, omniknight, tidehunter, tiny, wisp
2021-07-06: brewmaster, death prophet, jakiro, luna, night stalker, oracle, phoenix, shadow demon, shredder, slark
2021-07-07: death prophet, enchantress, jakiro, lich, mirana, ogre magi, pangolier, phoenix, spectre, vengefulspirit
2021-07-08: abyssal underlord, bane, drow ranger, elder titan, enigma, nyx assassin, pudge, sand king, windrunner, wisp
2021-07-09: bloodseeker, legion commander, lone druid, magnataur, silencer, sven, templar assassin, terrorblade, venomancer, witch doctor
2021-07-10: abaddon, antimage, broodmother, chaos knight, juggernaut, lich, lion, pudge, shadow shaman, winter wyvern
2021-07-11: bounty hunter, enchantress, keeper of the light, meepo, pangolier, treant, undying, warlock, witch doctor, zuus
2021-07-12: magnataur, monkey king, phantom lancer, shadow shaman, tinker, treant, troll warlord, vengefulspirit, warlock, winter wyvern
2021-07-13: arc warden, axe, chaos knight, enchantress, life stealer, nevermore, obsidian destroyer, sand king, skeleton king, slardar
2021-07-14: batrider, broodmother, centaur, monkey king, nevermore, rattletrap, riki, terrorblade, ursa, venomancer
2021-07-15: antimage, bristleback, chen, clinkz, phoenix, pudge, rattletrap, skeleton king, sniper, techies
2021-07-16: abyssal underlord, alchemist, axe, bounty hunter, dazzle, disruptor, lion, necrolyte, phoenix, viper
2021-07-17: alchemist, bane, juggernaut, leshrac, lina, lycan, monkey king, nevermore, ursa, winter wyvern
2021-07-18: earth spirit, gyrocopter, jakiro, magnataur, omniknight, oracle, phantom lancer, storm spirit, terrorblade, troll warlord
2021-07-19: bounty hunter, bristleback, dark seer, enchantress, juggernaut, kunkka, phantom assassin, tusk, wisp, zuus
2021-07-20: ember spirit, luna, naga siren, omniknight, pudge, shadow demon, spectre, storm spirit, vengefulspirit, wisp
2021-07-21: ancient apparition, dark willow, dazzle, enigma, phantom lancer, shredder, visage, warlock, weaver, witch doctor
2021-07-22: dazzle, doom bringer, enchantress, lich, lion, mirana, phantom assassin, skeleton king, tusk, zuus
2021-07-23: abyssal underlord, beastmaster, brewmaster, life stealer, nevermore, nyx assassin, oracle, phantom assassin, sand king, skywrath mage
2021-07-24: batrider, elder titan, invoker, kunkka, legion commander, pudge, sniper, ursa, warlock, witch doctor
2021-07-25: antimage, arc warden, centaur, disruptor, elder titan, lina, pudge, rattletrap, spectre, winter wyvern
2021-07-26: axe, brewmaster, dragon knight, leshrac, phantom lancer, pugna, troll warlord, weaver, witch doctor, zuus
2021-07-27: ancient apparition, antimage, clinkz, dazzle, magnataur, obsidian destroyer, puck, warlock, wisp, witch doctor
2021-07-28: death prophet, doom bringer, lion, magnataur, morphling, naga siren, ogre magi, rubick, slardar, winter wyvern
2021-07-29: abyssal underlord, bristleback, dragon knight, huskar, magnataur, medusa, night stalker, omniknight, sniper, techies
2021-07-30: ancient apparition, chen, juggernaut, leshrac, night stalker, shadow demon, shadow shaman, slardar, spirit breaker, treant
2021-07-31: alchemist, chen, death prophet, leshrac, monkey king, rubick, sand king, shadow shaman, tinker, weaver
2021-08-01: brewmaster, bristleback, gyrocopter, invoker, legion commander, life stealer, meepo, slark, tidehunter, zuus
2021-08-02: ancient apparition, chaos knight, earth spirit, faceless void, furion, lion, lone druid, puck, treant, vengefulspirit
2021-08-03: bristleback, lina, magnataur, monkey king, phoenix, puck, riki, tusk, undying, wisp
2021-08-04: ancient apparition, bane, dark willow, furion, medusa, necrolyte, shredder, sniper, sven, tidehunter
2021-08-05: abaddon, bloodseeker, clinkz, dark willow, lion, lycan, medusa, meepo, phantom assassin, terrorblade
2021-08-06: bounty hunter, enchantress, keeper of the light, legion commander, life stealer, luna, oracle, pugna, slark, tidehunter
2021-08-07: axe, juggernaut, kunkka, luna, monkey king, pugna, razor, spirit breaker, templar assassin, zuus
2021-08-08: alchemist, arc warden, beastmaster, doom bringer, dragon knight, earthshaker, invoker, lich, lina, spirit breaker
2021-08-09: batrider, disruptor, jakiro, leshrac, mirana, naga siren, night stalker, skywrath mage, templar assassin, witch doctor
2021-08-10: antimage, bane, broodmother, furion, naga siren, shadow demon, shredder, techies, witch doctor, zuus
2021-08-11: dragon knight, drow ranger, medusa, nevermore, riki, terrorblade, tiny, treant, viper, zuus
2021-08-12: doom bringer, earth spirit, lich, magnataur, night stalker, rubick, silencer, ursa, wisp, zuus
2021-08-13: bane, brewmaster, clinkz, earth spirit, jakiro, legion commander, necrolyte, riki, tiny, venomancer
2021-08-14: abaddon, axe, centaur, lina, lion, obsidian destroyer, phantom assassin, riki, sven, zuus
2021-08-15: abaddon, dazzle, jakiro, monkey king, rattletrap, slardar, templar assassin, treant, undying, witch doctor
2021-08-16: abaddon, arc warden, huskar, invoker, legion commander, magnataur, nevermore, oracle, vengefulspirit, wisp
2021-08-17: abyssal underlord, ancient apparition, doom bringer, invoker, lycan, naga siren, razor, rubick, shadow shaman, visage
2021-08-18: centaur, lina, lycan, mirana, oracle, rubick, shadow shaman, silencer, tidehunter, windrunner
2021-08-19: chen, clinkz, gyrocopter, ogre magi, phantom assassin, storm spirit, troll warlord, viper, warlock, winter wyvern
2021-08-20: clinkz, death prophet, earthshaker, elder titan, lich, lion, luna, pudge, skywrath mage, ursa
2021-08-21: abaddon, nevermore, obsidian destroyer, shadow shaman, shredder, skeleton king, sniper, tidehunter, vengefulspirit, viper
2021-08-22: abaddon, bane, bristleback, jakiro, pudge, riki, skywrath mage, troll warlord, undying, ursa
2021-08-23: beastmaster, bristleback, clinkz, magnataur, oracle, pangolier, shadow shaman, skywrath mage, sniper, terrorblade
2021-08-24: arc warden, enchantress, furion, kunkka, life stealer, lone druid, mirana, omniknight, phantom lancer, tiny
2021-08-25: bloodseeker, brewmaster, faceless void, keeper of the light, luna, mirana, obsidian destroyer, puck, terrorblade, ursa
2021-08-26: alchemist, bristleback, dazzle, phantom lancer, silencer, skeleton king, sven, templar assassin, undying, witch doctor
2021-08-27: earth spirit, enigma, furion, jakiro, lion, oracle, skeleton king, spirit breaker, treant, warlock
2021-08-28: disruptor, ember spirit, faceless void, huskar, mirana, monkey king, naga siren, ursa, vengefulspirit, winter wyvern
2021-08-29: bane, bristleback, dark willow, lich, oracle, pudge, rattletrap, skeleton king, tiny, treant
2021-08-30: brewmaster, broodmother, nevermore, night stalker, ogre magi, omniknight, pangolier, troll warlord, windrunner, zuus
2021-08-31: bristleback, chen, earthshaker, lich, meepo, nyx assassin, rubick, shadow shaman, silencer, undying
2021-09-01: arc warden, centaur, crystal maiden, leshrac, nevermore, omniknight, silencer, storm spirit, tusk, viper
2021-09-02: axe, bristleback, broodmother, dark seer, dark willow, ember spirit, leshrac, nevermore, pugna, shredder
2021-09-03: bloodseeker, crystal maiden, elder titan, furion, life stealer, morphling, nevermore, ogre magi, phoenix, winter wyvern
2021-09-04: naga siren, oracle, phantom assassin, puck, spirit breaker, storm spirit, techies, undying, windrunner, winter wyvern
2021-09-05: ancient apparition, antimage, bloodseeker, dazzle, doom bringer, keeper of the light, naga siren, necrolyte, shredder, vengefulspirit
2021-09-06: alchemist, brewmaster, drow ranger, lina, lone druid, mirana, night stalker, phantom assassin, queenofpain, shredder
2021-09-07: abaddon, bloodseeker, clinkz, enchantress, leshrac, morphling, nevermore, night stalker, sven, witch doctor
2021-09-08: chaos knight, ember spirit, faceless void, furion, keeper of the light, legion commander, medusa, sand king, treant, windrunner
2021-09-09: alchemist, drow ranger, enigma, omniknight, oracle, pangolier, skeleton king, spectre, techies, undying
2021-09-10: doom bringer, earthshaker, elder titan, jakiro, luna, medusa, phantom assassin, shadow shaman, sniper, tusk
2021-09-11: axe, beastmaster, drow ranger, faceless void, kunkka, luna, tidehunter, tiny, vengefulspirit, viper
2021-09-12: elder titan, faceless void, legion commander, ogre magi, rubick, storm spirit, treant, troll warlord, vengefulspirit, warlock
2021-09-13: ancient apparition, faceless void, huskar, lone druid, sand king, skeleton king, slark, undying, warlock, weaver
2021-09-14: brewmaster, dark willow, death prophet, medusa, pudge, razor, shadow demon, shredder, undying, viper
2021-09-15: earthshaker, faceless void, kunkka, naga siren, phantom lancer, pudge, silencer, tidehunter, windrunner, zuus
2021-09-16: abaddon, antimage, dark seer, dragon knight, drow ranger, earthshaker, enigma, necrolyte, pugna, troll warlord
2021-09-17: brewmaster, huskar, keeper of the light, leshrac, omniknight, phantom assassin, riki, shadow demon, sniper, tinker
2021-09-18: batrider, dazzle, doom bringer, ember spirit, juggernaut, nyx assassin, queenofpain, rattletrap, spectre, tiny
2021-09-19: dark seer, elder titan, faceless void, leshrac, magnataur, obsidian destroyer, phoenix, rubick, terrorblade, vengefulspirit
2021-09-20: keeper of the light, lone druid, nevermore, night stalker, phoenix, razor, sand king, templar assassin, treant, wisp
2021-09-21: centaur, chaos knight, drow ranger, earth spirit, enigma, jakiro, phoenix, pudge, riki, zuus
2021-09-22: antimage, broodmother, chaos knight, disruptor, lich, omniknight, rubick, slardar, storm spirit, troll warlord
2021-09-23: chaos knight, kunkka, lion, nevermore, phantom lancer, riki, slardar, sven, tinker, vengefulspirit
2021-09-24: beastmaster, bloodseeker, broodmother, centaur, drow ranger, life stealer, lone druid, necrolyte, pangolier, visage
2021-09-25: lich, lycan, meepo, nyx assassin, razor, silencer, skeleton king, spectre, tusk, viper
2021-09-26: bloodseeker, bounty hunter, dark seer, juggernaut, lycan, magnataur, phantom lancer, slardar, spectre, tinker
2021-09-27: abaddon, antimage, axe, chen, gyrocopter, pangolier, shadow demon, tusk, vengefulspirit, winter wyvern
2021-09-28: abyssal underlord, antimage, disruptor, drow ranger, earth spirit, lycan, medusa, night stalker, omniknight, sand king
2021-09-29: centaur, crystal maiden, drow ranger, keeper of the light, necrolyte, spectre, tidehunter, tusk, weaver, windrunner
2021-09-30: furion, keeper of the light, lone druid, obsidian destroyer, razor, riki, skywrath mage, tiny, ursa, warlock
2021-10-01: bristleback, dark willow, death prophet, meepo, monkey king, necrolyte, spirit breaker, tinker, tiny, viper
2021-10-02: antimage, broodmother, dark willow, doom bringer, furion, ogre magi, pugna, tidehunter, witch doctor, zuus
2021-10-03: ancient apparition, chaos knight, crystal maiden, juggernaut, kunkka, nyx assassin, phantom lancer, rattletrap, razor, shadow shaman
2021-10-04: arc warden, centaur, drow ranger, juggernaut, luna, magnataur, riki, sniper, terrorblade, troll warlord
2021-10-05: clinkz, doom bringer, invoker, jakiro, meepo, mirana, oracle, tiny, undying, viper
2021-10-06: axe, bane, clinkz, drow ranger, lich, lina, naga siren, necrolyte, skywrath mage, sniper
2021-10-07: arc warden, enchantress, lion, ogre magi, omniknight, pudge, slark, templar assassin, terrorblade, venomancer
2021-10-08: ancient apparition, death prophet, invoker, keeper of the light, leshrac, puck, pudge, skeleton king, venomancer, zuus
2021-10-09: antimage, bristleback, chen, crystal maiden, dark seer, obsidian destroyer, oracle, sven, wisp, witch doctor
2021-10-10: axe, bounty hunter, earth spirit, invoker, kunkka, mirana, razor, slardar, venomancer, winter wyvern
2021-10-11: abyssal underlord, brewmaster, enigma, faceless void, gyrocopter, obsidian destroyer, razor, shredder, windrunner, witch doctor
2021-10-12: bane, centaur, chaos knight, dark willow, earth spirit, lich, luna, nevermore, sniper, templar assassin
2021-10-13: bloodseeker, dark willow, kunkka, legion commander, necrolyte, queenofpain, razor, skywrath mage, templar assassin, winter wyvern
2021-10-14: beastmaster, bristleback, centaur, elder titan, ember spirit, riki, templar assassin, undying, venomancer, weaver
2021-10-15: doom bringer, dragon knight, invoker, legion commander, oracle, rubick, tinker, tusk, ursa, visage
2021-10-16: abaddon, bounty hunter, bristleback, chaos knight, dark seer, disruptor, faceless void, life stealer, puck, tinker
2021-10-17: bristleback, earth spirit, furion, lich, medusa, nyx assassin, sand king, tiny, weaver, wisp
2021-10-18: ember spirit, enchantress, invoker, lina, lion, nyx assassin, omniknight, skywrath mage, spirit breaker, venomancer
2021-10-19: abaddon, broodmother, furion, leshrac, lone druid, phoenix, rattletrap, silencer, spectre, visage
2021-10-20: abaddon, abyssal underlord, batrider, brewmaster, centaur, chaos knight, dragon knight, rubick, tinker, wisp
2021-10-21: abaddon, bloodseeker, bristleback, broodmother, earth spirit, juggernaut, lion, slardar, slark, templar assassin
2021-10-22: axe, brewmaster, dragon knight, kunkka, lich, lion, lycan, obsidian destroyer, pangolier, witch doctor
2021-10-23: alchemist, batrider, clinkz, drow ranger, oracle, puck, pudge, rattletrap, spectre, terrorblade
2021-10-24: enigma, faceless void, monkey king, nevermore, obsidian destroyer, shadow shaman, shredder, silencer, skeleton king, spectre
2021-10-25: gyrocopter, huskar, magnataur, night stalker, phantom lancer, shadow demon, skeleton king, spectre, tiny, treant
2021-10-26: axe, bane, chen, death prophet, juggernaut, lina, phoenix, queenofpain, shadow shaman, wisp
2021-10-27: disruptor, earth spirit, elder titan, lion, oracle, pugna, rattletrap, sven, undying, windrunner
2021-10-28: bounty hunter, centaur, dark willow, enchantress, furion, luna, omniknight, shadow shaman, techies, viper
